date,1. open,2. high,3. low,4. close,5. volume
2021-10-01 09:36:00,282.42,283.07,282.1,283.04,124354.0
2021-10-01 09:35:00,281.94,282.58,281.71,282.42,106061.0
2021-10-01 09:34:00,281.56,282.17,281.52,281.96,176109.0
2021-10-01 09:33:00,281.63,281.94,281.29,281.57,144321.0
2021-10-01 09:32:00,283.1356,283.17,281.63,281.646,140404.0
2021-10-01 09:31:00,282.1217,283.25,282.06,283.2,535001.0
2021-10-01 09:30:00,282.3,282.3,282.09,282.09,951.0
2021-10-01 09:29:00,282.05,282.05,282.04,282.04,5604.0
2021-10-01 09:28:00,282.35,282.35,282.35,282.35,1507.0
2021-10-01 09:27:00,282.34,282.49,282.16,282.16,3443.0
2021-10-01 09:26:00,282.38,282.38,282.01,282.09,2816.0
2021-10-01 09:25:00,282.36,282.39,282.36,282.36,1685.0
2021-10-01 09:24:00,282.42,282.42,282.3,282.3,899.0
2021-10-01 09:23:00,282.55,282.55,282.41,282.41,4477.0
2021-10-01 09:22:00,282.48,282.51,282.48,282.51,1988.0
2021-10-01 09:21:00,282.49,282.49,282.49,282.49,1069.0
2021-10-01 09:20:00,282.43,282.43,282.43,282.43,391.0
2021-10-01 09:19:00,282.53,282.53,282.53,282.53,342.0
2021-10-01 09:18:00,282.47,282.5,282.47,282.47,1547.0
2021-10-01 09:16:00,282.5,282.5,282.5,282.5,368.0
2021-10-01 09:14:00,282.49,282.5,282.49,282.5,1203.0
2021-10-01 09:13:00,282.28,282.38,282.28,282.38,895.0
2021-10-01 09:12:00,282.28,282.28,282.28,282.28,312.0
2021-10-01 09:10:00,281.92,282.23,281.92,282.23,2829.0
2021-10-01 09:09:00,282.35,282.35,282.3,282.3,807.0
2021-10-01 09:07:00,282.642,282.642,282.5,282.5,2778.0
2021-10-01 09:06:00,282.6,282.6,282.4,282.5,1159.0
2021-10-01 09:05:00,282.69,282.69,282.69,282.69,278.0
2021-10-01 09:04:00,282.44,282.49,282.44,282.49,1276.0
2021-10-01 09:03:00,282.2,282.2,282.2,282.2,348.0
2021-10-01 09:01:00,282.37,282.37,282.35,282.35,398.0
2021-10-01 09:00:00,282.35,282.35,282.11,282.11,905.0
2021-10-01 08:57:00,282.15,282.18,282.11,282.18,987.0
2021-10-01 08:56:00,282.15,282.15,282.15,282.15,574.0
2021-10-01 08:55:00,281.99,281.99,281.99,281.99,166.0
2021-10-01 08:54:00,282.17,282.17,281.96,281.96,676.0
2021-10-01 08:53:00,281.97,282.0,281.97,282.0,1540.0
2021-10-01 08:48:00,281.7,281.89,281.7,281.89,1108.0
2021-10-01 08:46:00,281.7,281.7,281.7,281.7,236.0
2021-10-01 08:45:00,281.85,281.98,281.65,281.65,8427.0
2021-10-01 08:44:00,282.19,282.2,282.0,282.0,2571.0
2021-10-01 08:43:00,282.13,282.2,282.13,282.2,1625.0
2021-10-01 08:41:00,281.82,281.82,281.82,281.82,452.0
2021-10-01 08:40:00,282.01,282.01,281.95,281.95,1579.0
2021-10-01 08:39:00,282.13,282.13,282.13,282.13,592.0
2021-10-01 08:38:00,281.94,281.95,281.94,281.95,739.0
2021-10-01 08:37:00,281.95,281.95,281.95,281.95,20395.0
2021-10-01 08:36:00,282.11,282.11,282.0,282.0,5315.0
2021-10-01 08:35:00,282.2,282.2,282.16,282.16,842.0
2021-10-01 08:34:00,282.46,282.46,282.26,282.26,4637.0
2021-10-01 08:33:00,282.67,282.67,282.67,282.67,222.0
2021-10-01 08:32:00,282.41,282.41,282.4,282.4,600.0
2021-10-01 08:31:00,282.77,282.9,282.75,282.8999,1402.0
2021-10-01 08:30:00,282.88,282.88,282.88,282.88,453.0
2021-10-01 08:28:00,282.9,282.9,282.9,282.9,625.0
2021-10-01 08:27:00,282.8,282.97,282.8,282.97,1257.0
2021-10-01 08:26:00,282.7,282.9699,282.7,282.9699,835.0
2021-10-01 08:25:00,282.75,282.75,282.75,282.75,1508.0
2021-10-01 08:24:00,282.75,282.77,282.75,282.75,1420.0
2021-10-01 08:23:00,282.85,282.85,282.85,282.85,512.0
2021-10-01 08:22:00,282.9,282.9,282.82,282.9,1212.0
2021-10-01 08:21:00,282.9,283.0,282.9,282.95,3687.0
2021-10-01 08:20:00,282.7,282.8,282.68,282.75,2816.0
2021-10-01 08:19:00,282.88,282.88,282.67,282.67,2375.0
2021-10-01 08:18:00,282.8,282.9,282.71,282.71,4558.0
2021-10-01 08:17:00,282.6,282.7,282.6,282.7,6183.0
2021-10-01 08:16:00,282.3,282.3,282.3,282.3,2257.0
2021-10-01 08:15:00,282.3,282.3,282.2999,282.3,910.0
2021-10-01 08:14:00,282.27,282.3,282.27,282.3,444.0
2021-10-01 08:13:00,282.28,282.28,282.01,282.01,1832.0
2021-10-01 08:12:00,282.4,282.4,282.13,282.28,7124.0
2021-10-01 08:11:00,282.6,282.6,282.5,282.5,1809.0
2021-10-01 08:09:00,282.58,282.58,282.58,282.58,217.0
2021-10-01 08:08:00,282.57,282.57,282.57,282.57,900.0
2021-10-01 08:07:00,282.4,282.5,282.4,282.5,628.0
2021-10-01 08:06:00,282.52,282.55,282.49,282.55,3890.0
2021-10-01 08:05:00,282.53,282.53,282.53,282.53,718.0
2021-10-01 08:04:00,282.6,282.6,282.6,282.6,484.0
2021-10-01 08:03:00,282.5,282.55,282.5,282.55,1014.0
2021-10-01 08:02:00,282.51,282.51,282.47,282.47,784.0
2021-10-01 08:01:00,282.6006,283.11,280.85,282.53,32502.0
2021-10-01 08:00:00,282.36,282.38,282.36,282.38,1778.0
2021-10-01 07:59:00,282.38,282.38,282.35,282.35,3365.0
2021-10-01 07:58:00,282.35,282.35,282.35,282.35,512.0
2021-10-01 07:57:00,282.3,282.3,282.3,282.3,222.0
2021-10-01 07:56:00,282.38,282.38,282.3,282.38,5242.0
2021-10-01 07:55:00,282.38,282.38,282.38,282.38,2875.0
2021-10-01 07:54:00,282.46,282.46,282.35,282.35,1611.0
2021-10-01 07:53:00,282.41,282.6,282.32,282.6,6598.0
2021-10-01 07:52:00,282.6,282.6,282.5,282.5,1866.0
2021-10-01 07:51:00,282.6,282.6,282.6,282.6,499.0
2021-10-01 07:50:00,282.85,282.85,282.7,282.7,2746.0
2021-10-01 07:49:00,282.98,282.98,282.98,282.98,152.0
2021-10-01 07:47:00,282.7,282.99,282.7,282.99,2067.0
2021-10-01 07:46:00,282.58,282.69,282.51,282.69,2183.0
2021-10-01 07:42:00,282.5,282.5,282.47,282.47,1092.0
2021-10-01 07:41:00,282.9,282.9,282.5,282.5,2538.0
2021-10-01 07:40:00,283.0,283.0,283.0,283.0,627.0
2021-10-01 07:39:00,283.07,283.09,283.07,283.09,1335.0
2021-10-01 07:38:00,282.7,283.29,282.68,283.2,7837.0
2021-10-01 07:37:00,282.6,282.65,282.6,282.65,1409.0
2021-10-01 07:36:00,282.61,282.61,282.51,282.51,1341.0
2021-10-01 07:35:00,282.6,282.61,282.6,282.6,513.0
2021-10-01 07:32:00,282.51,282.51,282.51,282.51,527.0
2021-10-01 07:31:00,282.63,282.75,282.63,282.75,2794.0
2021-10-01 07:30:00,282.49,282.49,282.49,282.49,434.0
2021-10-01 07:29:00,282.33,282.34,282.33,282.34,1081.0
2021-10-01 07:28:00,282.52,282.52,282.34,282.34,1687.0
2021-10-01 07:27:00,282.63,282.63,282.63,282.63,2353.0
2021-10-01 07:26:00,282.09,282.61,282.09,282.61,7640.0
2021-10-01 07:25:00,281.94,282.17,281.94,282.17,1765.0
2021-10-01 07:24:00,281.89,281.89,281.89,281.89,304.0
2021-10-01 07:23:00,281.85,281.85,281.85,281.85,356.0
2021-10-01 07:22:00,281.84,281.99,281.84,281.99,2968.0
2021-10-01 07:21:00,281.55,281.8,281.51,281.8,4281.0
2021-10-01 07:19:00,281.74,281.81,281.6,281.6,3606.0
2021-10-01 07:18:00,281.64,281.74,281.64,281.74,4582.0
2021-10-01 07:17:00,281.64,281.64,281.64,281.64,346.0
2021-10-01 07:16:00,281.6,281.6,281.6,281.6,542.0
2021-10-01 07:15:00,281.65,281.65,281.65,281.65,230.0
2021-10-01 07:14:00,281.6,281.6,281.6,281.6,1250.0
2021-10-01 07:13:00,281.64,281.64,281.64,281.64,485.0
2021-10-01 07:12:00,281.49,281.49,281.49,281.49,470.0
2021-10-01 07:11:00,281.47,281.49,281.47,281.49,654.0
2021-10-01 07:10:00,281.57,281.57,281.51,281.51,1557.0
2021-10-01 07:09:00,281.56,281.56,281.54,281.54,376.0
2021-10-01 07:08:00,281.52,281.52,281.51,281.51,1587.0
2021-10-01 07:07:00,281.67,281.67,281.64,281.64,711.0
2021-10-01 07:06:00,281.5,281.65,281.46,281.46,1292.0
2021-10-01 07:05:00,281.14,281.51,281.14,281.5,6039.0
2021-10-01 07:04:00,280.98,281.0,280.98,281.0,3250.0
2021-10-01 07:03:00,280.9,280.98,280.9,280.98,3138.0
2021-10-01 07:02:00,280.95,280.95,280.95,280.95,725.0
2021-10-01 07:01:00,280.95,280.95,280.8,280.95,3007.0
2021-10-01 07:00:00,280.74,280.89,280.74,280.89,1572.0
2021-10-01 06:59:00,280.75,280.76,280.75,280.75,3819.0
2021-10-01 06:58:00,280.66,280.66,280.66,280.66,387.0
2021-10-01 06:57:00,280.74,280.76,280.74,280.75,3581.0
2021-10-01 06:55:00,280.75,280.75,280.73,280.75,2540.0
2021-10-01 06:52:00,280.74,280.74,280.74,280.74,395.0
2021-10-01 06:49:00,280.83,280.83,280.83,280.83,119.0
2021-10-01 06:33:00,280.8,280.8,280.8,280.8,231.0
2021-10-01 06:23:00,280.76,280.76,280.74,280.74,424.0
2021-10-01 06:22:00,280.85,280.85,280.85,280.85,1264.0
2021-10-01 06:17:00,280.81,280.81,280.78,280.78,479.0
2021-10-01 06:15:00,280.94,280.94,280.94,280.94,143.0
2021-10-01 06:13:00,280.87,280.9,280.87,280.9,1934.0
2021-10-01 06:12:00,280.46,280.46,280.46,280.46,596.0
2021-10-01 06:08:00,280.47,280.48,280.47,280.48,582.0
2021-10-01 06:01:00,280.25,280.29,280.25,280.29,1230.0
2021-10-01 06:00:00,280.19,280.19,280.19,280.19,141.0
2021-10-01 05:56:00,280.24,280.25,280.24,280.25,815.0
2021-10-01 05:53:00,280.26,280.26,280.26,280.26,142.0
2021-10-01 05:50:00,280.39,280.39,280.39,280.39,1329.0
2021-10-01 05:43:00,280.39,280.42,280.39,280.4,1011.0
2021-10-01 05:42:00,280.4,280.4,280.4,280.4,258.0
2021-10-01 05:41:00,280.32,280.32,280.32,280.32,233.0
2021-10-01 05:31:00,280.45,280.48,280.45,280.48,1143.0
2021-10-01 05:26:00,280.38,280.44,280.38,280.44,622.0
2021-10-01 05:15:00,280.31,280.48,280.31,280.48,863.0
2021-10-01 05:09:00,280.1,280.1,280.1,280.1,681.0
2021-10-01 04:55:00,279.85,279.85,279.85,279.85,207.0
